"Age band", "2008Q1","2008Q2","2008Q3","2008Q4","2009Q1","2009Q2","2009Q3","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2","2020Q3","2020Q4","2021Q1","2021Q2","2021Q3","2021Q4","2022Q1","2022Q2","2022Q3","2022Q4","2023Q1","2023Q2","2023Q3","2023Q4","2024Q1","2024Q2","2024Q3","2024Q4","2025Q1"

"0-4 years",155,154,143,163,157,162,163,152,159,159,166,157,166,173,165,170,180,186,194,192,190,192,195,197,204,203,205,204,216,224,218,227,226,233,234,255,244,239,218,232,218,213,213,217,206,212,215,227,223,230,223,216,232,243,244,243,246,269,269,283,290,289,296,292,298,299,302,316,311
"5-9 years",129,133,136,155,163,162,154,149,147,147,147,154,146,150,147,150,150,163,176,182,186,186,177,183,175,187,184,192,190,182,182,198,199,190,192,191,186,188,186,196,196,206,213,215,220,221,207,226,222,213,209,214,213,218,215,221,225,243,242,244,257,267,261,285,282,279,293,298,289
"10-14 years",125,124,119,140,144,151,140,146,140,130,134,130,121,121,121,123,129,133,125,129,130,136,125,139,136,137,137,145,150,156,154,156,146,150,145,162,162,155,149,153,162,155,160,162,159,159,156,164,164,163,168,185,198,201,200,201,203,207,209,227,213,223,224,230,235,247,253,258,257
"15-19 years",188,192,160,236,181,203,180,278,240,248,206,285,236,221,189,233,220,212,185,267,216,224,210,304,261,277,235,318,237,242,195,307,247,271,228,319,284,277,218,322,278,299,244,340,267,259,206,302,243,252,195,185,189,204,182,238,224,229,200,254,238,266,224,316,251,273,235,354,260
"20-24 years",1089,1214,674,1316,845,1393,769,1437,856,1473,774,1672,929,1472,771,1686,1616,1639,815,1678,936,1783,831,1890,1036,1733,799,1803,872,1980,1520,2047,1499,2121,901,2127,1236,2342,1122,2200,1775,2303,1258,2482,1446,2687,1394,2421,903,962,768,657,573,537,498,728,575,1734,595,1643,747,1900,618,1887,813,2122,806,2246,940
"25-29 years",546,567,587,651,664,680,655,711,669,685,673,710,700,702,675,737,752,769,755,796,798,810,778,789,797,800,776,829,826,844,827,892,890,907,911,961,966,996,991,1028,1033,1034,991,1051,1044,1054,1034,1054,989,956,907,943,939,924,900,978,984,1012,1007,1046,1055,1063,1010,1048,1031,1026,974,1003,995
"30-34 years",633,642,650,656,652,663,648,648,637,654,655,664,685,670,666,681,694,692,708,701,710,705,705,750,746,739,752,785,771,792,785,818,842,851,833,869,873,878,861,896,887,920,938,976,993,1001,1029,1030,1000,999,1021,1027,1034,1075,1097,1081,1103,1122,1111,1134,1165,1202,1206,1184,1195,1207,1241,1277,1268
"35-39 years",712,713,698,717,709,702,697,706,699,731,731,728,718,721,706,710,697,715,713,711,715,723,729,703,702,708,693,686,670,679,689,701,699,699,714,743,754,766,777,794,809,798,808,850,856,869,870,877,866,876,872,897,917,945,962,987,979,988,999,1013,1011,1036,1059,1089,1113,1121,1149,1153,1149
"40-44 years",683,696,694,707,731,738,730,751,746,739,751,752,771,769,767,766,771,785,779,776,763,774,753,765,744,730,726,715,704,708,694,697,674,684,692,691,665,672,666,678,659,689,699,687,690,691,697,715,690,673,678,682,690,690,707,745,757,768,781,791,820,832,845,881,893,895,922,946,949
"45-49 years",597,602,606,617,632,656,669,673,691,694,703,702,684,686,670,671,661,677,682,683,691,700,691,709,718,748,733,739,728,727,755,769,803,798,780,778,771,768,749,743,723,716,696,688,678,669,671,662,655,652,638,630,622,634,631,629,640,634,640,656,659,676,668,656,669,679,679,681,672
"50-54 years",458,466,476,492,490,491,494,509,514,539,530,538,554,566,584,582,589,590,595,616,609,619,618,606,609,634,632,638,663,670,665,661,643,647,643,642,628,639,627,632,628,634,608,622,641,646,644,663,659,644,667,675,689,677,668,665,671,683,681,670,669,676,676,670,653,643,640,624,615
"55-59 years",364,367,367,380,390,394,405,415,417,424,433,439,443,437,433,454,450,459,460,457,466,475,481,499,492,495,501,511,496,504,501,510,520,534,537,553,554,555,538,556,533,537,527,527,534,542,550,551,558,545,535,521,515,522,514,513,505,517,525,537,551,566,553,552,571,569,570,576,575
"60-64 years",316,308,317,326,328,329,334,348,356,346,338,337,341,331,338,353,359,360,359,354,346,353,357,379,383,383,391,394,400,401,411,409,404,407,400,416,413,416,411,410,401,414,393,394,397,387,382,401,388,383,377,366,362,374,381,393,380,369,373,389,394,402,408,418,428,442,440,447,464
"65-69 years",198,209,215,219,221,226,228,238,242,243,254,254,262,275,281,286,287,290,294,294,301,289,294,299,300,303,305,307,319,316,317,323,327,317,319,321,316,325,327,324,307,307,290,309,310,311,315,313,313,303,310,299,300,303,297,309,312,315,317,314,319,328,330,333,333,338,336,342,329
"70-74 years",116,119,113,121,128,121,125,123,126,130,132,141,142,145,146,151,153,162,168,176,187,193,201,202,203,213,207,219,220,227,237,240,245,257,254,251,250,249,246,248,236,231,232,231,237,239,244,248,254,243,239,243,244,240,242,238,239,236,238,234,234,237,235,248,250,252,257,252,253
"75-79 years",93,96,100,96,91,101,101,102,101,100,96,99,99,99,102,102,107,103,104,111,114,114,107,114,121,115,117,114,118,121,123,129,126,129,131,131,133,141,141,146,150,156,157,158,160,162,158,170,169,162,173,171,177,182,183,181,181,185,186,184,185,178,181,183,186,194,194,201,207
"80-84 years",52,54,54,55,57,61,59,59,64,62,66,67,64,65,63,66,65,66,66,69,66,72,75,78,73,83,82,86,87,87,84,89,85,83,83,83,85,83,84,86,88,90,82,84,89,84,86,82,85,85,88,92,90,92,92,98,102,106,111,114,116,115,120,124,125,122,120,124,124
"85-89 years",20,22,24,25,25,23,23,23,23,25,25,26,26,30,34,36,39,42,41,37,37,37,38,38,39,41,46,46,45,43,45,43,44,44,43,45,44,44,40,40,39,42,44,47,45,49,51,55,53,52,51,52,53,52,52,50,53,52,52,53,53,54,49,51,57,59,65,66,64
"90-94 years",7,7,8,9,9,8,8,9,9,10,9,11,12,9,9,8,8,7,7,10,11,13,15,15,17,17,17,16,14,15,17,17,18,21,24,23,23,24,23,19,20,18,21,21,20,19,20,18,18,18,18,17,17,18,18,20,21,20,18,19,20,24,25,27,26,22,25,24,24
"95-99 years",3,2,1,0,1,2,2,1,1,1,1,1,0,1,1,1,1,2,1,1,1,0,0,0,0,0,0,1,1,2,2,3,3,3,2,2,2,2,2,4,4,4,5,5,6,7,7,6,6,6,6,5,3,4,4,5,4,4,4,4,6,5,7,6,6,6,6,5,4
"100 years and over",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
