"Age Band", "2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"

"0-4 years",57,61,54,52,58,55,77,75,70,64,69,59,55,56,81,69,70
"5-9 years",56,24,41,27,45,24,61,41,35,46,45,36,28,42,73,55,45
"10-14 years",33,29,24,29,28,33,38,33,30,22,46,29,28,38,35,30,36
"15-19 years",182,218,208,185,214,276,245,252,277,270,254,233,81,116,161,250,277
"20-24 years",1319,1446,1700,1851,1891,2202,2116,2614,2724,2607,2726,2705,481,435,2635,2912,3285
"25-29 years",195,178,186,210,188,234,239,248,262,251,274,247,242,246,250,238,264
"30-34 years",113,118,142,103,115,127,168,154,144,164,172,161,148,185,190,190,187
"35-39 years",100,84,98,73,84,77,80,91,83,114,116,101,118,120,122,136,134
"40-44 years",56,61,63,62,80,67,80,63,54,65,80,69,60,83,90,98,94
"45-49 years",57,56,49,38,43,46,70,72,55,56,55,53,61,57,50,50,48
"50-54 years",31,36,38,27,37,26,38,24,43,33,29,41,43,49,54,44,38
"55-59 years",26,32,31,22,26,27,30,28,32,30,30,27,17,33,47,28,26
"60-64 years",21,13,16,18,15,26,25,27,28,17,21,18,11,15,15,32,23
"65-69 years",13,9,8,12,14,15,8,21,11,11,10,23,10,10,19,17,12
"70-74 years",3,2,6,6,5,10,6,15,8,7,13,5,4,13,4,9,11
"75-79 years",1,1,0,3,4,3,4,2,2,3,6,0,3,4,3,8,2
"80-84 years",1,4,1,0,1,0,3,0,1,0,0,1,2,1,0,1,0
"85-89 years",0,0,0,3,0,1,2,0,0,0,0,1,0,1,0,1,3
"90-94 years",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"95-99 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100-104 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105-109 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110 years +",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
