
"Kommune","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"

"Copenhagen",865,878,990,1233,1325,1505,1701,1798,2068,2299,2204,2164,2180,542,624,2377,2721,3045
"Frederiksberg",166,183,179,206,152,134,189,222,255,213,229,507,455,115,167,343,360,403
"Dragør",2,3,3,5,4,5,2,4,10,9,8,2,1,4,1,3,2,3
"Tårnby",21,15,21,19,12,20,15,11,7,13,12,14,10,5,5,13,8,17
"Albertslund",93,97,101,31,8,16,16,13,17,23,11,11,12,3,3,12,7,9
"Ballerup",9,19,15,24,25,30,40,32,35,40,24,24,25,11,18,26,20,26
"Brøndby",9,11,14,19,7,4,7,7,12,10,14,6,7,2,1,8,19,23
"Gentofte",80,129,129,85,90,94,92,105,119,108,77,87,71,34,41,51,32,34
"Gladsaxe",24,23,25,31,36,30,44,31,35,36,45,44,26,5,17,32,19,19
"Glostrup",9,5,11,12,15,12,13,8,15,9,15,12,20,7,1,9,13,10
"Herlev",9,12,16,13,11,11,11,6,9,12,17,10,9,2,11,15,11,6
"Hvidovre",24,43,49,63,69,69,80,80,75,55,43,27,10,12,5,11,12,11
"Høje-Taastrup",20,15,14,16,25,24,35,35,41,35,32,28,26,13,6,14,20,14
"Ishøj",6,2,2,1,5,3,6,4,13,6,5,13,9,4,0,2,1,0
"Lyngby-Taarbæk",50,55,85,73,50,69,76,72,91,96,125,118,129,60,52,183,149,195
"Rødovre",6,7,7,10,14,11,11,8,17,15,18,11,11,8,9,14,16,12
"Vallensbæk",3,5,3,4,9,3,3,9,11,14,16,12,8,3,2,10,4,10
"Allerød",11,12,11,13,20,20,17,23,33,18,20,15,11,6,8,6,11,13
"Egedal",10,15,8,9,23,28,25,23,30,23,23,17,12,7,5,7,11,6
"Fredensborg",11,18,21,29,35,27,34,32,14,19,21,16,23,4,4,19,13,9
"Frederikssund",4,7,5,3,5,6,10,4,6,6,6,1,6,6,1,3,0,4
"Furesø",25,35,30,29,30,27,34,26,26,28,31,25,18,15,9,12,6,6
