"Kommune","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Copenhagen",598,942,831,1056,919,1811,1466,1881,1312,2471,1466,2445,2494,496,367,2044,2423,2905
"Frederiksberg",101,136,148,171,133,98,310,203,227,158,295,569,465,121,143,278,328,394
"Dragør",4,2,1,4,2,3,1,5,9,8,7,2,1,3,3,4,2,5
"Tårnby",13,23,21,16,6,19,15,6,7,16,11,12,19,6,1,10,9,10
"Albertslund",49,133,104,29,4,12,16,17,25,23,8,13,11,0,9,10,4,8
"Ballerup",6,15,21,22,18,36,23,52,34,37,23,11,24,14,9,24,20,25
"Brøndby",4,12,13,15,10,10,18,2,14,9,14,4,10,3,0,7,7,17
"Gentofte",72,111,111,118,84,134,102,92,115,95,108,123,84,36,49,44,39,53
"Gladsaxe",32,22,26,32,18,41,49,35,32,25,54,27,50,16,8,14,15,13
"Glostrup",6,6,9,12,6,14,10,7,15,6,10,4,22,9,1,4,17,6
"Herlev",21,8,13,8,9,13,14,5,7,12,13,10,12,2,3,20,9,7
"Hvidovre",26,49,47,61,46,90,77,79,71,55,40,18,22,11,6,10,12,10
"Høje-Taastrup",16,18,21,17,12,28,29,39,40,29,30,1,47,14,4,11,14,13
"Ishøj",2,4,1,1,4,2,2,4,11,6,4,9,10,5,1,1,2,1
"Lyngby-Taarbæk",47,61,68,86,47,69,88,59,84,79,117,115,140,70,27,139,197,109
"Rødovre",3,7,9,9,5,14,15,11,17,9,16,8,20,4,6,15,6,7
"Vallensbæk",4,4,2,2,1,9,6,8,12,15,10,13,9,4,3,6,3,7
"Allerød",14,13,12,11,8,32,15,23,33,17,14,6,14,4,6,2,15,13
"Egedal",10,15,16,10,10,36,24,20,29,27,22,14,16,7,4,9,10,5
"Fredensborg",9,28,25,27,21,50,22,37,16,16,22,19,28,11,5,16,12,14
"Frederikssund",4,9,6,2,1,7,6,3,5,5,6,2,7,6,0,3,0,1
"Furesø",21,41,32,23,13,38,26,29,28,29,26,13,27,19,3,9,13,2
"Gribskov",7,5,9,4,2,1,8,0,3,3,1,1,6,2,2,1,0,1
"Halsnæs",1,2,0,2,1,1,1,0,1,0,1,0,4,1,1,0,0,1
"Helsingør",14,15,10,38,24,59,49,52,46,16,12,10,25,11,10,9,21,16
"Hillerød",30,45,55,48,28,69,40,30,37,37,46,22,54,21,2,16,7,12
"Hørsholm",4,15,15,18,13,23,14,21,19,28,22,16,20,14,3,8,7,4
"Rudersdal",21,45,61,58,19,37,43,59,55,41,30,42,47,41,21,21,27,18
"Bornholm",2,2,3,8,4,3,4,2,9,6,8,5,5,8,4,3,4,1
"Christiansø",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greve",14,11,13,12,6,23,33,21,26,34,35,32,44,14,13,26,20,19
"Køge",2,5,6,16,7,31,19,23,23,18,9,12,3,7,2,3,3,7
"Lejre",7,8,12,12,7,19,9,8,8,10,6,15,6,1,1,1,0,3
"Roskilde",17,24,7,78,57,127,54,48,38,43,38,26,45,45,8,30,32,31
"Solrød",4,3,7,12,3,13,16,18,15,25,19,14,25,5,0,9,6,4
"Faxe",1,1,0,3,1,1,2,3,2,1,1,1,1,2,2,1,1,2
"Guldborgsund",1,3,1,3,2,2,2,4,3,4,5,4,2,3,6,2,7,1
"Holbæk",2,5,2,0,5,5,2,4,2,2,8,6,6,4,2,4,5,3
"Kalundborg",1,2,1,2,1,4,0,1,10,3,4,4,3,5,0,6,0,2
"Lolland",0,2,1,1,1,1,2,3,0,1,1,0,3,1,1,0,0,3
"Næstved",6,2,2,6,4,5,1,1,8,10,10,7,12,8,5,7,10,12
